item,n
and,2
autumn,1
avocado,2
bacon,9
bbq,2
beef,6
big,6
black,4
blt,3
bmt,3
breast,7
buffalo,1
caesar,1
carved,7
cheese,11
cheesesteak,3
chicken,16
chipotle,1
club,3
cold,3
combo,3
corned,2
cut,3
delite,4
double,1
dressing,2
footlong,30
forest,4
guacamole,1
ham,7
hero,3
hot,3
includes,3
italian,9
italiano,2
kids,4
marinara,3
meatball,3
melt,11
mini,4
onion,3
oven,3
pastrami,3
patty,2
pepperoni,1
philly,3
pizza,4
pizziola,2
provolone,2
ranch,5
reuben,2
rib,2
roast,4
roasted,3
rotisserie,2
rotisseriestyle,1
salad,25
sandwich,2
sausage,1
seafood,2
sensation,2
southwest,1
spicy,3
steak,4
style,2
sub,4
subway,8
sweet,3
teriyaki,3
tuna,3
turkey,19
veggie,6
veggies,1
with,3
wrap,3
